photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1269683,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112069_491ECM_N0601874NCAM00230_00_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269686,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781111996_849ECM_N0601874NCAM00230_01_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269687,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112005_551ECM_N0601874NCAM00230_00_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269688,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112022_566ECM_N0601874NCAM00230_00_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269689,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112050_410ECM_N0601874NCAM00230_01_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269690,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112064_491ECM_N0601874NCAM00230_00_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269691,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112077_347ECM_N0601874NCAM00230_00_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269748,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113627_568ECM_N0601874NCAM00502_01_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269760,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113711_481ECM_N0601874NCAM00502_01_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269773,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113669_441ECM_N0601874NCAM00502_02_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269774,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113789_012ECM_N0601874NCAM00502_01_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269775,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113789_012ECM_N0601874NCAM00502_02_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269776,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113842_521ECM_N0601874NCAM00502_01_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269777,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113924_523ECM_N0601874NCAM00502_01_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269778,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113924_523ECM_N0601874NCAM00502_02_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269795,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113627_568ECM_N0601874NCAM00502_02_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
